run_id	commit	node_fp	model	shape	backend	config_hash	script	load_s	max_s	seed	tps_c1	tps_c4	tps_c8	tps_c16	tps_c32	peak_gb	req_counts	validity	knobs	status	notes	data
20260613-201110-chat	27aa972	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	78974e55	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_batched-16k_tuned.sh	216	180	42	40.76	na	na	504.01	na	67.0	c1:29/0/0;c16:347/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-195346 n3; thermal=63C/32W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-201110-chat
20260613-202026-chat	45c9796	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	68acc088	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_kvfp8_tuned.sh	121	180	42	41.09	na	na	538.19	na	68.7	c1:29/0/0;c16:371/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-201749 n1; thermal=68C/33W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-202026-chat
20260613-202649-chat	45c9796	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	68acc088	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_kvfp8_tuned.sh	121	180	42	41.31	na	na	566.49	na	68.7	c1:29/0/0;c16:392/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-201749 n2; thermal=63C/32W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-202649-chat
20260613-203310-chat	45c9796	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	68acc088	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_kvfp8_tuned.sh	121	180	42	41.45	na	na	570.54	na	68.7	c1:28/1/0;c16:392/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-201749 n3; thermal=62C/32W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-203310-chat
20260613-205619-chat	e00383b	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	4aea1983	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_memutil-08_tuned.sh	151	180	42	40.64	na	na	478.08	na	104.8	c1:29/0/0;c16:328/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-205250 n1; thermal=69C/36W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-205619-chat
20260613-210243-chat	e00383b	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	4aea1983	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_memutil-08_tuned.sh	151	180	42	40.82	na	na	502.84	na	104.8	c1:29/0/0;c16:344/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-205250 n2; thermal=64C/35W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-210243-chat
20260613-210905-chat	e00383b	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	4aea1983	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_memutil-08_tuned.sh	151	180	42	40.82	na	na	504.05	na	104.8	c1:29/0/0;c16:345/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-205250 n3; thermal=64C/35W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-210905-chat
20260613-212313-chat	c1a827a	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	30dde5a5	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_batched-32k-util08_tuned.sh	397	180	42	41.06	na	na	488.7	na	103.1	c1:29/0/0;c16:336/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-211534 n1; thermal=67C/34W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-212313-chat
20260613-212936-chat	c1a827a	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	30dde5a5	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_batched-32k-util08_tuned.sh	397	180	42	41.34	na	na	509.79	na	103.1	c1:29/0/0;c16:349/15/0	ok	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	exp=20260613-211534 n2; thermal=63C/33W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-212936-chat
20260613-213556-chat	c1a827a	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	30dde5a5	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_batched-32k-util08_tuned.sh	397	180	42	41.32	na	na	hang	na	103.2	c1:29/0/0;c16:na	no_data@c16	levels=1|16,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	crash	exp=20260613-211534 n3; hang@c16; thermal=60C/21W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260613-213556-chat
20260614-073625-chat	1720e32	gb10-1988a9714b4e	RedHatAI/Qwen3-8B-NVFP4	chat(512/256)	vllm@0.23.0(img:sha256:6d8429e38e37)	68acc088	runbooks/RedHatAI/Qwen3-8B-NVFP4/20260613_kvfp8_tuned.sh	116	180	42	41.87	164.32	309.28	563.15	950.6	68.4	c1:29/0/0;c4:114/3/0;c8:215/7/0;c16:387/15/0;c32:652/31/0	ok	levels=1|4|8|16|32,max_s=180,seed=42,prompt=512,output=256,stall=na,ltimeout=na,gllm=0.6.0	measured	0.23.0 fp8-KV final; thermal=73C/35W	results/gb10-1988a9714b4e/RedHatAI/Qwen3-8B-NVFP4/data/20260614-073625-chat
